,rating,review
"('2 Okna Cafe', '1')",1.0,"Nie wiem, co się stało  Naprawdę bardzo rzadko narzekam na zamówienia, ale tego miejsca zdecydowanie nie polecam. Klimatyczny ogródek to pierwszy i ostatni plus. Zamówiłyśmy brownie a dostałyśmy biszkopt bez grama czekolady. Na pytanie, czy to faktycznie brownie, usłyszałam że tak, ale z białej czekolady :). Poza tym dostałyśmy też brudny widelec, a kawa jest wyjątkowo niesmaczna. Bardzo niemiłe zaskoczenie. Zwłaszcza, że ceny nie należą do najmniejszych. "
"('2 Okna Cafe', '14')",2.0,"niby nie jestem wybredna... ...ale jogurt z granola, teoretycznie prosta przekaska, pozostawia wiele do zyczenia.
w szklance, co moim zdaniem nie pasuje do tego posilku i przez to niewygodnie sie je; granola nie chrupiaca, lecz twarda i o srednim smaku, malo owocow, miodu w ogole nie wyczulam."
"('2 Okna Cafe', '2')",5.0,"Polecam Bardzo gorąco polecam to miejsce. Miła obsługa, świetny klimat, polecam ogródek na wiosnę i co najważniejsze - pyszna kawa!"
"('27 Porcji Family Slow Food', '0')",5.0,"Idealne miejsce dla rodzin z dziećmi! Piękna restauracja położona w równie pięknym miejscu, cisza spokój. Ogród idealny dla dzieci, pyszne jedzenie. Polecam serdecznie 😀"
"('27 Porcji Family Slow Food', '1')",1.0,"Brak slow - uwazajcie! Zamówienie złożone w piątek wieczorem, czas oczekiwania wg osoby odbierajacej telefon w tej śmieszniej pseudo restauracji 30 minut ( czas do zaakceptowania :))
Po godzinie, nadal czekamy...
Dzwonię do nich, i teraz uwaga: 
"" Państwa pizza została przeciez dostarczona, w czym problem? Przecież podszedl Pan do kierowcy i odebrał.
Przepraszam, nie mam na to wpływu, komu kierowca zamówienie  wydaje.""

WTF...? To nie ja przecież..,nadal głodny.

Zatem uważajcie, nie polecam,  nie dajcie się nabrać!
Niektórzy próbują zarobic nieuczciwie w tym trydnym dla nas czasie. 

Zdrówka życzę wszystkim..."
"('27 Porcji Family Slow Food', '10')",3.0,"Niedzielna wizyta rodzinna Restauracja stara się - kreuje się na slow food w wydaniu extra
niestety - kaczka konfitowana z dodatkiem kapusty ( kapusta jak z najgorszego słoiczka) fimy Smak ? okropna "
"('27 Porcji Family Slow Food', '11')",5.0,"Kolejna wizyta w restauracji - nadal polecam To moja czwarta lub piąta wizyta w lokalu. Pierwszy raz byłem jeszcze na ruczaju. Tym razem dałem najwyższą ocenę troszeczkę na wyrost. Wydaje mi się, że koncept slow food'owy traci troszkę w zestawieniu z pomysłem restauracji rodzinnej tzn. rodzice plus dzieci. Zacznę od pochwały frytek. Świetne, chyba jedne z lepszych w Krakowie. Modne belgijskie chowają się przy nich. Zapewne dlatego, że te belgijskie są zazwyczaj z mrożonych ziemniaków. Pozostałe potrawy dobre ale bez tego slow food'owego polotu z jakim kojarzyłem tą kuchnię. Pieczone ziemniaki bardzo słabe. Warto na to zwrócić uwagę bo chyba nie pierwszy wspominam. Pomijając drobiazgi restaurację warto odwiedzić. Miejsce i otoczenie są urocze. Świetne na obiad w gronie znajomych. Obsługa dobra ale kiedyś (chyba właściciele) była znakomita."
"('27 Porcji Family Slow Food', '12')",5.0,"27 powodów, by tu przyjść. Nawet jeśli są tu pewne niedociągnięcia (przemiła, acz niedoświadczona obsługa, czy nie najlepiej dobrana muzyka), o wszystkim natychmiast się zapomina z pierwszym kęsem zamówionego dania. Potrawy bardzo wysokiej jakości o idealnie zbalansowanym, wyrazistym smaku i aromacie. Nic nie przeważa, jest idealnie. Polecam (choć oczywiście nie spróbowałam jeszcze całego menu, ale zgodnie z ideą slow, będę czynić to powoli, przy kolejnych wizytach)."
"('27 Porcji Family Slow Food', '13')",2.0,"strata czasu dzisiaj wybraliśmy się ze znajomymi i było fatalnie.
Jeden wielki chaos, kelner przyszedł po 30 min i po dwukrotnym upomnieniu.
Z pięciu zamówionych dań otrzymaliśmy cztery w odstępach po 15 min :-).
Przy płaceniu rachunku i informacji do obsługi, że nie dostaliśmy jednego zamówienia stwiedzono że w niedziele to normalne.........
Szkoda czasu i nerwów."
"('27 Porcji Family Slow Food', '14')",5.0,"Jest naprawdę świetnie (mimo jednorazowej wpadki) 1)	Wystrój:
Restauracja mieści się z dala od centrum na obrzeżach Parku Decjusza w wyremontowanym starym budynku. W lecie część stolików wystawiona jest na zewnątrz. Wokół lokalu jest duży ogród z matecznikiem dla pszczół (darujcie Państwo nie wiem jak to fachowo nazwać – to są drewniano ceglaste miejsca z nawiercanymi otworami o średnicy pszczoły właśnie przyciągającymi te owady) oraz założonym warzywnikaiem i ogródkiem ziołowym. Płody z tych ostatnich wykorzystywane są (ponoć) przez kucharzy w proponowanych daniach. Niedaleko jest miejsce dla najmłodszych – niewielki plac zabaw skracający dzieciakom czas oczekiwania na zamówione dania. Wewnątrz właściciele również postarali się o niewielki stoliczek dla malutkich, na którym mieszczą się jakieś gadżety do zabawy. Dla osób postronnych jazgot płynący z tych miejsc zabaw potrafi być uciążliwy, ale przecież dzieci też mają swoje prawa w tym to najważniejsze – prawo do zabawy 😊
Wnętrze jest raczej nowoczesne, dość skromne (nie mylić z zapuszczonym czy brudnym broń Boże) i schludne. Nieco może zalatuje industrializmem (jakieś stalowe wentylacyjne przewody biegnące górą), ale nie jest to nachalne. Rozmiary stolików pozwalają na swobodne spożywanie posiłków. Przejście między nimi również nie zmusza do wciągania brzucha 😊

2)	Obsługa:
Bardzo miła i kompetentna. Mam wrażenie, że nawet gdy jeden kelner odchodzi i przychodzi nowy jest on częstowany poszczególnymi daniami, żeby wiedzieć o czym mówić gościom. O każdym daniu mogą coś powiedzieć gościom – procesie pozyskiwania i przygotowania składników, samym gotowaniu potraw, smaku i konsystencji dań. Piszę to z obserwacji z około 10 pobytów w ciągu 3 lat – po otwarciu lokalu byłem w nim, wraz z dziećmi, pierwszym gościem (nawet menu jeszcze nie zdążyli wydrukować 😊 :P), moja córka miała tam przyjęcie komunijne. 

3)	Menu:
Jest bardzo dobrze! Co prawda w ciągu tych 3 lat zdarzyła się „jedna zmoka” kiedy to czekaliśmy na startera 55 minut, na danie główne dalsze 15-20 w dodatku jedzenie było przeciętne. Szkoda, że zdarzyło się to akurat podczas wizyty znajomych Hiszpanek, którym chcieliśmy pokazać, że Polska to nie tylko papież, wódka i bursztyn. Niestety wyjechały w przekonaniu, że polska kuchnia ponad przeciętność jeszcze się nie wzniosła ☹ 
Poza tym jednym przypadkiem dania zawsze były wyśmienite. Karta jest krótka co zawsze dobrze wróży. Dodać trzeba, że menu jest dostosowywane do tego co w danym czasie rośnie na polach i dostępne jest na świeżo. Naprawdę czuć, że użyte substraty są najwyższej jakości, przygotowaniem dań zajmują się profesjonaliści by nie rzec pasjonaci. Nieco słabiej (co nie znaczy źle), przynajmniej dla naszej rodziny, jest w zimie. Prawdopodobnie związane jest to z filozofią 27 porcji żeby używać wszystkiego co świeże, a ze świeżymi produktami jak wiadomo w zimie gorzej. Drugim przyczynkiem do tego jest to, że właściciele wraz z załogą postawili na kuchnię polską więc trudno im posiłkować się owocami czy warzywami egzotycznymi. Nie jest to bynajmniej przygana – ot opisanie stanu rzeczy.

Poszczególnych dań nie będę opisywał bo gwarantuję zarówno ucztę dla oka jak i dla podniebienia. Wszystkie są naprawdę godne polecenia. Zaskakujące są frytki z sosem bbq – tak proste danie a tak genialne. To frytkowy „debeściak” na na mapie Europy! I te desery – coś niezwykłego! Jak to żona powiedziała: za ten fondant oddała bym się kucharzowi. Ja dodałem - pewnie nie raz 😊
4)	Ogólne wrażenia:
Jeśli szukacie ekskluzywnej restauracji i waszym priorytetem, istotnym aspektem, są oszałamiające wnętrza – to nie ten adres. Tym nie mniej jest schludnie i, mimo nowoczesnych wnętrz, dość swojsko. W lecie oczywiście najfajniejsza jest posiadówka, z dala od miejskiego zgiełku z dolatującym do ucha śpiewem ptaków z pobliskiego parku i bzyczeniem owadów, w ogródku. Jeśli szukacie naprawdę dobrej kulinarnej oferty nie rujnującej przy tym waszych portfeli (noooo na lekki dren kieszeni, szczególnie gdy zaprosiliście swoich znajomych, musicie być jednak przygotowani) - śmiało mogę polecić. Opinię tę podtrzymuję mimo drobnej tzw. wtopy opisanej w tekście. Mimo tego uznaję jej zaistnienie za czysty przypadek. Po ""incydencie"" z Hiszpankami byliśmy tam dwukrotnie i dwukrotnie wyszliśmy bardzo zadowoleni."
